"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12"
"b=0.005",4.00152610391503,3.16247081630891,2.67674926239319,2.4214506426281,2.25867303534324,2.18670960538726,2.11266455500362,2.05998576586957,1.99327813620053,1.94469660345002,1.90597363130224,1.88284416748735
"b=0.01",4.05490621840156,3.23427868310571,2.73170900508781,2.47676052953721,2.33343279672451,2.26737513657836,2.1949596547969,2.14362366695549,2.10046370236644,2.05037615294526,2.02473130993767,1.99651016081285
"b=0.015",4.08960932501003,3.27170850280665,2.81951702457128,2.55709649081507,2.40946578724809,2.34575496359725,2.2977856944396,2.2534696543567,2.22271051597039,2.1609045459057,2.14858144018199,2.13286545527949
"b=0.02",4.10612260183317,3.31583269676857,2.86632134023738,2.64078642271565,2.4936500657307,2.43316784825278,2.40588995334926,2.35683815383943,2.34670826972511,2.30325817919668,2.28612746985271,2.27928543208139
"b=0.025",4.13783371886588,3.38084480701462,2.93606547220336,2.71799252292515,2.58379509979091,2.52736155486472,2.50095351428525,2.47889902928666,2.46719280631881,2.45901336140232,2.43555479177838,2.442171932144
"b=0.03",4.17665018322056,3.42026366239291,3.00860131418572,2.79662909927286,2.68186222699522,2.63832217424849,2.63482377247263,2.59977930397129,2.6013311436192,2.60268987071321,2.61660759409428,2.62204186547149
"b=0.035",4.27062743822682,3.48232448494199,3.08204586956002,2.87974575045738,2.76123721603756,2.74336718439938,2.74519953683104,2.72119293493492,2.72799186813893,2.74390632808916,2.78515078398503,2.80522479792835
"b=0.04",4.35217273342969,3.52597069506181,3.16984938064202,2.95652620468381,2.87331735610057,2.84179773021776,2.86531938649462,2.85737998517085,2.87670112561472,2.91364276551282,2.9480974257797,2.97392218001008
"b=0.045",4.384247138771,3.58761079810745,3.2310663702234,3.04140504294798,2.95312610255062,2.95887986709503,2.98603127484619,2.9834698701776,3.03708917549796,3.09033769213781,3.15723384857737,3.18307910247584
"b=0.05",4.46585616469237,3.68057555038363,3.31946167339162,3.12372450175031,3.04640461282543,3.06906983780775,3.10895927296437,3.13343414831625,3.19330076548122,3.26914002947147,3.33112182376854,3.39698777956708
"b=0.055",4.53606184995322,3.73859325390726,3.39679768884974,3.21066503288982,3.15398074858089,3.18936229101896,3.25060819679635,3.28067951202764,3.36677786833403,3.45403365967037,3.53831061313262,3.63692323409505
"b=0.06",4.56467418447762,3.79900241491829,3.47365097542847,3.32301225652413,3.24850766565325,3.32087910662649,3.40396289454529,3.44631105062671,3.52933051452768,3.63574259593024,3.7390843318578,3.89525246462734
"b=0.065",4.59860102513742,3.88382230945627,3.55667455578139,3.43392251178896,3.33987805124887,3.44554337974885,3.5471816604367,3.59689308948646,3.7060096350812,3.83787896554837,3.96297208327721,4.1314042702465
"b=0.07",4.65321684448374,3.92675889804194,3.64337537622954,3.55120279885517,3.45323936835338,3.55109726233721,3.69291162967224,3.76552562489055,3.87990956537495,4.05404474020866,4.20074280641981,4.38936672147077
"b=0.075",4.70853451644314,3.98930631130764,3.73669384470418,3.64284762979155,3.60492330492739,3.66402866465209,3.81052109244015,3.9179116330248,4.05930513544135,4.27214809166076,4.46847097145053,4.63881249633445
"b=0.08",4.7949135473391,4.07519073360023,3.84523157719221,3.76944615699988,3.72954713429881,3.81951781367805,3.95055528647475,4.09606615382376,4.26747836158229,4.52436302019554,4.71992281433034,4.92805649805772
"b=0.085",4.85147388149015,4.12967718899433,3.92559601418501,3.86787249461824,3.8551946055368,3.94852694617725,4.10985548484332,4.29805297953392,4.4948545522947,4.77654038363838,4.972306466604,5.23520753361342
"b=0.09",4.89009156107154,4.20749550240841,4.04071622538524,3.95536916724607,3.96579881426725,4.11317377419426,4.25889965769263,4.50797704292267,4.70204300311562,5.04854539406279,5.24845486005731,5.52845490886437
"b=0.095",4.93723556969958,4.2764861416722,4.12891190845377,4.07744077987094,4.0835165265898,4.27958165536734,4.43369806537009,4.72678615499063,4.94762010412258,5.30405479084693,5.5251616932453,5.8252946511457
"b=0.1",5.0002259083521,4.39018155584778,4.2251468102496,4.18636426031969,4.20496714844929,4.40425069361223,4.58283369571276,4.91128444719637,5.17782615644947,5.49824211678032,5.78582521988529,6.14604201607092
"b=0.105",5.05238010294354,4.49158419991242,4.32085211855522,4.28324820582936,4.36510579001969,4.57586817404459,4.81066766200995,5.1232040284254,5.3970439227745,5.72019904619069,6.06711126526483,6.46898780401894
"b=0.11",5.10011063436162,4.59426321238684,4.43911968741022,4.39179235186233,4.48051689736086,4.74290716020525,5.02190003912921,5.33639853054818,5.66990437395304,5.99773756706634,6.31748189920188,6.7786608164405
"b=0.115",5.18905392341205,4.67829377979162,4.53103626307808,4.52023439302285,4.61572244886781,4.90619004027095,5.20899694216993,5.54854100082035,5.9032029189488,6.27301821384001,6.62606492512399,7.12382622413179
"b=0.12",5.27411002857301,4.73541710753733,4.62528493645848,4.64436536382225,4.78757233110903,5.08298949611381,5.40889937988949,5.77620660243604,6.1377717402548,6.58466715278229,6.9515151291881,7.42716725309524
"b=0.125",5.35729204194134,4.82986022108873,4.72268189768843,4.7672743202833,4.94556348467334,5.2551796952637,5.61330011965752,6.05474617323659,6.40158355192379,6.83722359569135,7.28101058269706,7.69793186102106
"b=0.13",5.42588541663995,4.92592377432539,4.83104787565297,4.90561704672552,5.10087993419191,5.42841509168495,5.81628751784617,6.27042844691462,6.68671022344784,7.15066198535905,7.58879648709737,8.06392632406749
"b=0.135",5.47611103953975,5.04244914795894,4.91715130184982,5.01175338414399,5.24845350746982,5.57893796410138,6.02873505657612,6.50742002009625,6.97480676595393,7.44671572342482,7.92999461307331,8.36125781037322
"b=0.14",5.57918659129999,5.15036387841118,5.02397609641769,5.12978981918247,5.38447409967662,5.73561139530353,6.21239264204401,6.75628103630101,7.2441396661538,7.79285832023504,8.24733250925727,8.67403024478029
"b=0.145",5.64075288263158,5.23324738457282,5.17128259614419,5.27808236221008,5.51620805959163,5.91182879168924,6.4597247052141,6.97908657567494,7.51725298841735,8.0917992504737,8.59794299341747,9.06685986772362
"b=0.15",5.70192910815751,5.30763100698364,5.26643742723502,5.41596494733027,5.70477935987239,6.09034891746799,6.68399024535338,7.27118034513414,7.7834826506745,8.40365323483436,8.9384418475324,9.42402777589921
"b=0.155",5.77952684535582,5.39264568844633,5.37165430014969,5.55008999042871,5.84655615638809,6.25476117868409,6.86110309022297,7.52277622590848,8.04855074059209,8.74204824352622,9.26499320437079,9.76294782103709
"b=0.16",5.82319177057492,5.48382260054037,5.47045187695667,5.73200896052619,6.03232146384925,6.43480123209353,7.13179892140583,7.81476080778669,8.39926375168693,9.01337913569591,9.64293324651629,10.1197459910178
"b=0.165",5.92391453380155,5.59171489324601,5.61004754650121,5.87304822744938,6.21697721520017,6.65021946537589,7.3224068862149,8.05150044570516,8.74270035430627,9.32763712666894,9.90615187022878,10.4791390916005
"b=0.17",6.01468000738007,5.72542066617928,5.73027819692875,6.02664004704262,6.37005969043894,6.85927346044131,7.53129682131303,8.28380550045837,8.97071102952283,9.62330987865478,10.2002936621705,10.8218604945549
