"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12"
"b=0.005",7.14932619265085,4.94424648577206,4.12811213635875,3.55640524667629,3.35059256104913,3.13253023478394,2.9786927368775,2.93337150599259,2.83137678261855,2.75065049716715,2.7375769394503,2.66351473585121
"b=0.01",7.2037066448424,5.05942540793162,4.3405011595342,3.82800898392703,3.55290714549744,3.46239610070059,3.35414864382217,3.27131356377957,3.19240896670241,3.11378807135763,3.12054322515991,3.1723103980784
"b=0.015",7.47887145866145,5.37388193252078,4.55499906278369,4.22825094816138,3.94420318457697,3.88766638516338,3.79196009920661,3.74580178020679,3.7716288907897,3.83990140973239,3.89687606652271,4.00177009205844
"b=0.02",7.58738457329153,5.56103051255082,5.05183857787392,4.4927797971748,4.36180368250211,4.38074007112069,4.3885105646577,4.51817001102082,4.66046382489405,4.96898472601423,5.43274866900429,6.06934366642547
"b=0.025",8.11812741192317,5.93355578118615,5.3619606894388,5.03011486494514,4.97817956062972,5.15012629189397,5.31758086548659,5.99930492992891,7.06866158626618,7.92651284504919,9.61971587875269,14.0745639955026
"b=0.03",8.58264895846211,6.38706315557658,5.76095815259683,5.82048857856158,5.63707607571699,6.24105263497363,7.13490793256477,8.84327958256103,11.5353579812229,15.5116702484011,22.3593208234154,34.5321405647415
"b=0.035",8.71906976368654,6.99601277333805,6.43269392840859,6.59480015387994,6.95006666096948,7.73612979176829,10.0356550077159,14.2674826671479,20.7121981108726,31.5146702079005,38.466529160882,57.6856625018425
"b=0.04",9.25306815438953,7.21849834599494,6.83701464696199,7.61608712700394,8.47124786733589,10.6098838607956,14.7808435034339,24.3188532188513,35.3803371666403,48.6403097205829,48.9948954342669,59.1109619451354
"b=0.045",9.6711380157284,7.74978736936597,7.79991111121402,8.82201195512129,10.8860799475865,16.5309248698044,25.3168343261336,35.6019863626335,52.5537229978561,61.797724243541,71.5146699822904,82.5123564226767
"b=0.05",10.2000241498642,8.37371707587944,8.91370674978549,10.8101739566424,14.356331736412,25.1645936993056,32.1280725949568,47.017640736675,56.8897725159427,76.0408999257116,64.1931308865071,91.4402443546535
"b=0.055",10.7717584097318,9.3075697733996,10.1575205500988,12.9791595645235,20.4777688604788,30.8017637917114,42.0488962865862,51.6832504281027,65.679819009588,71.6841042263936,75.6705732727819,72.9266454167337
"b=0.06",11.0336333584558,10.0206535814322,11.8886755083352,17.0292072588728,26.8827088029582,42.157410979996,70.1802305183837,60.9577645316137,65.5298163321891,73.9100254619651,71.3701099695454,78.8526412948466
"b=0.065",11.7664349498319,11.3293826024173,13.718883123539,20.2051567050635,33.063269856744,47.4393477312931,61.8126046560696,72.5574964550777,63.1859020103629,66.8658949297407,79.7632241787942,73.9456083451367
"b=0.07",11.8853857989465,12.0063660835531,15.2931149227321,23.3616447782143,34.6731487046271,57.8325231348335,70.8785256094271,63.9892018219134,71.2909892374923,80.4046151826015,84.7069497346115,102.046213626076
"b=0.075",12.9014086978545,12.6222504018924,17.7816475623044,27.2948372118988,46.7626726804643,64.7673251944873,72.8078314637985,81.5108341606651,88.8808187569524,88.3767850057972,89.2220600932066,105.303995403026
"b=0.08",13.1800018637498,14.1378406137512,22.9834014588977,34.7590944274464,49.4435224673255,64.4892419457142,74.2503493074829,90.1231039999972,86.4908863072637,84.4192099198805,87.7442470874833,91.9092873307708
"b=0.085",13.8118975957477,15.9836527671115,28.0811788993592,46.6939878804806,60.1563189098427,77.7776663735924,77.9789993584534,88.0689552105017,92.9773250109339,86.1075309133373,94.7577618463239,90.7963033747468
"b=0.09",14.5467002281401,18.5841295329658,29.6018001703591,45.6600075652621,66.461293758243,68.5332918940578,87.2301896352582,99.8799539718064,117.144301912023,82.9076579049698,85.0008875796569,104.022738917268
"b=0.095",15.322319163925,20.0995529553992,30.9890903680453,53.2702984588512,93.1647029574245,97.6148249320376,84.6137679661242,82.9093692110943,83.240111073992,91.9177925618578,93.3407790680157,97.3575033806894
"b=0.1",16.0096494859474,23.0875363525124,35.2126214591171,54.6586827831096,68.2858846401976,74.7878688497153,75.9068133455804,95.0312922090129,93.9916571552784,92.604118548527,85.906781812933,101.713711716837
"b=0.105",16.4583029107142,24.8152122621135,41.6389629328954,57.0005715138342,68.954232209546,77.5349315744591,89.4183417298851,95.0911103008269,84.7088914100731,94.7850344472209,82.6951926913384,116.178117728169
"b=0.11",17.6263216171396,27.8092031700887,43.6367829008411,64.4289035359103,81.6703937040933,87.208141721679,82.012883231218,102.122482713727,99.0940723366078,102.044344951161,103.740867256189,108.792719362875
"b=0.115",18.4203535035504,30.1847455597915,48.0068915594771,70.450507838666,84.0310850701035,101.169833437603,88.9971239333238,94.6611264711833,97.6051821644148,98.7007653150885,124.368113457788,113.266038233411
"b=0.12",19.7782153306543,32.5066884816141,56.7261437054939,71.935561599964,81.2056905830053,88.4189059594166,77.2689265096561,88.1899676978887,95.7891094224079,96.2364887813471,106.422297297604,121.404307993485
"b=0.125",20.3515286742477,33.9638259051044,58.9062649943298,64.0303353023124,82.682418820399,102.952495159482,81.0676712241922,104.656084955949,112.240522562061,107.458544109306,119.318378239793,152.767946688681
"b=0.13",21.8675728474931,38.2340650172802,62.0360835059768,82.3027143703003,89.9294017807776,93.6772585529507,101.032454381704,88.3887054750318,103.753995698877,101.628735294418,125.673274895441,118.523570239214
"b=0.135",25.4864914476671,39.5042982181639,60.9031116518886,88.1776837687213,98.1767244061723,107.618579879947,101.253281978726,97.7145932547116,85.0096962533216,111.216088276801,128.038830197498,156.217998690955
"b=0.14",27.541349504524,38.9913987339763,63.6051617278335,82.2828204112739,93.3274524549066,105.048858111688,94.5895812064108,102.68038770609,114.153514962338,116.317096546118,122.120811208441,122.871160833738
"b=0.145",29.3711445565044,44.524617909273,79.342347340004,97.4168629873795,107.6726178558,101.173537920763,111.601802444312,102.539961096185,115.407024967485,123.447976859049,138.970940665272,145.432871118463
"b=0.15",30.2142110006506,59.2119441647012,91.5495307902313,91.646842753238,87.4767097789459,120.230606132016,111.203399133079,114.677733349924,110.119460392277,143.555047587219,128.91801570941,152.033893185076
"b=0.155",32.9095708630326,47.7788698255859,82.0893196689402,94.3563629200883,91.4538532618376,132.847392371545,104.504362815483,109.94882775993,116.849753245124,140.011626140594,135.929295624816,158.23551502176
"b=0.16",32.7059650641688,49.0571962387727,79.2609605118597,91.2948619166397,78.0481682617136,113.936124977137,117.373505708931,124.147145615732,114.456051873603,145.884287949515,147.38111548014,172.055038851897
"b=0.165",35.3320986634908,52.5837322032167,87.1213309759952,108.316787524753,98.2557695229532,132.540460202549,106.679376209978,122.431663766971,125.973993302031,136.241240313057,155.852360422338,168.160141260928
"b=0.17",35.3702387765298,61.4923316196999,80.6490226151663,95.2798710548277,131.20112336168,111.088315145743,105.835558320521,115.640298200773,144.06196268668,163.249536635933,191.887998957217,214.690933112515
"b=0.175",34.3660662517162,65.4126386970216,87.0962728703228,100.513441995313,106.843091212193,111.13151764781,116.935547173972,127.609440435876,159.398928070382,152.057134706582,181.540217534453,174.226941847412
"b=0.18",38.248473013575,68.7186342774171,93.899762334046,131.396908535658,116.711842740655,110.190773170503,115.344730282379,122.749498707167,158.991351293224,173.810674314148,165.886442907225,254.242677355147
"b=0.185",41.8943699969247,62.9198690558933,91.9222471144461,104.97961406448,123.116965763973,122.100170313917,151.588879361251,145.224687392724,133.614252091525,166.009816862324,191.35778100519,186.771700416951
"b=0.19",41.6333493055803,80.9681502660683,95.925419496298,94.1632349473246,104.492737846494,126.751692862781,149.974521273364,148.907794225232,155.480119807487,148.119935105276,192.634272321028,263.02621950323
"b=0.195",45.0296538346199,69.7884069338553,85.2983677613693,98.9829961183055,112.270029644171,111.670071889265,118.60891820529,174.588562927144,165.991380573788,189.588134305956,222.34303444617,209.618298797923
"b=0.2",47.7302911409732,74.5001488506719,101.251306044279,109.257238180937,131.98745840582,121.143396130248,124.972520751977,161.544736949382,180.595458519944,204.171431876489,212.644605601792,225.438020245541
"b=0.205",49.5747417484722,69.8809312089147,103.249831163714,118.051197923841,130.1674706996,142.144246624325,145.96240359746,137.060332127968,169.737603845348,192.979836021731,219.970016113892,252.793137422465
"b=0.21",56.6511063362327,72.2417538923096,100.04949364811,96.9793188636525,125.987561363207,134.834112649181,130.199440443908,158.753384245252,197.638769714944,167.800047202011,254.426163986646,268.272845876302
"b=0.215",49.5993633555024,72.9262548077189,98.4815906275761,119.760568726004,138.853254422776,134.909834530434,145.253153418373,171.777606011024,208.961206997222,202.324785012628,196.943075189878,252.309953128833
"b=0.22",52.615472645094,76.2780973387568,114.580420280324,94.9808965383566,113.902092227657,135.980450951325,117.005915805127,137.419305519679,178.351970377509,209.561928943934,232.112874761445,309.179229716524
"b=0.225",55.7897510548978,72.0420340543129,128.240593527837,106.974933001564,115.246544443158,153.043734779591,151.661031551176,172.827156396052,182.842052969672,196.405217680451,256.898306072383,302.451213373722
"b=0.23",53.1750143656262,86.7987496698862,107.510249513837,124.668220054767,139.941264093864,122.641141902244,168.862295134218,174.592644269209,216.830635874404,248.335405348631,251.692917273193,272.246578658549
"b=0.235",56.8428226358739,86.2346369575284,107.846498453977,99.9855271171548,109.988576638067,145.478410401761,156.577959484209,173.496563958988,219.017961195798,248.182100084197,272.739079385045,299.522975952424
"b=0.24",64.342011788895,97.8274867534753,100.859087468949,113.196675030266,126.279442498007,124.487944679641,190.845546126224,198.138291564582,238.021662020857,261.018624506028,233.262843364722,330.701069686109
"b=0.245",64.2531145038757,87.5868555095618,114.415182627651,131.253245737208,129.833518192012,151.236059973746,171.909933445252,195.582004636227,224.685549490301,206.115121323976,276.161637443824,284.923584624782
"b=0.25",67.9956641096398,92.3260351372129,109.149073383612,126.452904302151,129.955187523968,146.16494715582,156.510603855334,189.851648196504,232.041212855899,254.672402602802,275.847876544985,294.982344230004
"b=0.255",65.9109106754662,100.507098871737,124.183681691735,111.817796183866,133.976412854417,140.74110690488,201.365731300883,194.272116910977,262.176754812061,299.909141231326,281.574672661068,299.626318380631
"b=0.26",64.7153713668564,110.289392050847,123.881881005603,115.290591517616,143.952041782673,140.001297031333,190.036300905342,193.414860900549,257.056807674767,258.348846433355,315.636403198064,368.088718652107
"b=0.265",69.2505608370887,98.3952896074814,116.499525706558,130.8198572296,132.342408051698,155.755414333105,194.007421723022,239.90259179183,268.718582588403,280.454757857411,295.77536687904,369.560690752572
"b=0.27",61.1599637492148,102.290510909616,124.998454435932,118.93623490767,131.53685340528,181.174957975206,208.640470811542,193.741122604722,219.081492379351,341.650910196917,289.08626091196,324.119246057874
"b=0.275",64.0418650354914,123.00881350579,154.193918495797,136.639623288306,146.68861720485,158.560067507861,197.132902916052,217.968262040973,223.837726252863,268.918551351761,304.138219685516,367.375445104638
"b=0.28",73.9936098283703,143.055495656314,137.170954023479,117.095401010843,159.013518315244,159.343205950471,217.689797864069,203.240656599312,334.129048728565,304.011789890068,414.926490046804,342.15684003563
"b=0.285",64.3909907265197,129.765125885044,134.085294004786,127.53033046263,135.326717929334,180.037392021746,195.899893993097,225.214158515615,247.021156178533,335.86901360471,318.687907691679,325.304110041045
"b=0.29",67.7702560180391,119.430856660361,142.557144860182,142.935578482247,145.881864022274,154.658554597064,182.832684944325,270.049868194175,273.440038814266,315.8305996259,310.756694124234,369.510423809756
"b=0.295",70.5051148309025,127.701278154921,127.918252170717,105.619653828113,138.667756160176,188.331395912207,206.857812209163,239.340110302294,306.394741398713,295.690000151098,311.974996807932,375.239596783153
"b=0.3",72.2742419139738,136.090455584385,130.713097770557,135.908191804313,152.531633620229,207.457862930788,204.161461733356,236.510828015585,311.909104535369,329.396396925116,353.878248427039,375.160174431124
"b=0.305",77.8682119850022,139.759969538663,124.432984589816,120.100696263636,176.569608142414,209.216860078032,211.537894068358,258.33267089394,280.13433082628,270.911234684909,326.769001283137,319.351709148941
"b=0.31",85.6627583470174,141.19364493048,123.036102190311,147.799115813392,154.625601102586,195.604260745478,205.922406110279,240.962632559132,332.044680828417,277.737494620553,397.95261039873,429.326341549823
"b=0.315",81.9587434564377,155.319806418514,130.403213705405,137.870741315133,159.773136289997,229.792746753659,213.1589950052,203.399232897874,274.405858625217,252.473487185525,302.333005445317,347.99186046063
"b=0.32",94.4198820018722,131.388796112791,122.174452313468,141.470172203096,158.573299665549,226.738815754465,290.370400512353,236.25219834399,293.981954600804,289.47253801556,437.715427495126,361.551760843104
